               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10893,            0.054359,            0.040773,           0.0048369,             0.19243,           0.0039767,          0.00093865,            0.097436,            0.039029,            0.035367,            0.070556,           0.0032716,           0.0032716
                   1,              0.0934,            0.065385,            0.036366,            0.065629,            0.033831,            0.053809,            0.014308,            0.081883,            0.040336,            0.029201,             0.04049,           0.0065395,           0.0065395
                   2,            0.081425,            0.063123,            0.030927,            0.061377,             0.18305,            0.051711,            0.012904,            0.077346,            0.039836,            0.024365,            0.010359,           0.0097415,           0.0097415
                   3,            0.078702,            0.063802,            0.028486,             0.14242,             0.28365,             0.14491,            0.044662,            0.076963,            0.037674,            0.022009,            0.009703,            0.009703,            0.009703
                   4,            0.075492,            0.062594,            0.026689,             0.16142,             0.24358,             0.16022,            0.046659,            0.073853,            0.033974,            0.019577,            0.009703,            0.009703,            0.009703
                   5,            0.070763,            0.061345,            0.025801,             0.25705,             0.39674,             0.21754,            0.069276,            0.070756,            0.036532,            0.019019,            0.009604,            0.009604,            0.009604
                   6,            0.066401,            0.058683,            0.025497,             0.22979,             0.33008,             0.22488,            0.068464,            0.071137,            0.035632,            0.018855,            0.009505,            0.009505,            0.009505
                   7,            0.061503,            0.055949,            0.024724,             0.28235,             0.38046,             0.25523,            0.074597,            0.067416,            0.034738,            0.018398,            0.009406,            0.009406,            0.009406
                   8,            0.060978,            0.054853,            0.023098,             0.31491,              0.5126,             0.32684,            0.093302,            0.067467,            0.033868,            0.017905,            0.009307,            0.009307,            0.009307
                   9,            0.059037,            0.054047,            0.022708,             0.22182,             0.46475,             0.25026,            0.085053,            0.073658,            0.033757,            0.017796,            0.009208,            0.009208,            0.009208
                  10,            0.059016,            0.051969,            0.021193,             0.48544,             0.37191,             0.36738,             0.13471,            0.063603,            0.035476,            0.017184,            0.009109,            0.009109,            0.009109
                  11,            0.054415,            0.052399,            0.021458,             0.65201,             0.31539,             0.36136,            0.091285,            0.067149,            0.035733,            0.017505,             0.00901,             0.00901,             0.00901
                  12,            0.054843,             0.05134,             0.02096,              0.5012,             0.52011,             0.49848,             0.15443,            0.063053,            0.034181,            0.016626,            0.008911,            0.008911,            0.008911
                  13,            0.052315,            0.048286,            0.019786,             0.44048,             0.48293,             0.42603,             0.13517,            0.063202,            0.035485,            0.016646,            0.008812,            0.008812,            0.008812
                  14,            0.051425,            0.047636,             0.01981,              0.5402,              0.4979,             0.47747,              0.1429,             0.06382,            0.036787,            0.017115,            0.008713,            0.008713,            0.008713
                  15,            0.051532,            0.047048,            0.019365,             0.50464,             0.40824,             0.42122,             0.14996,            0.065676,            0.034935,            0.016818,            0.008614,            0.008614,            0.008614
                  16,            0.049352,            0.046122,            0.017983,             0.52436,             0.49511,               0.512,             0.17852,            0.060754,             0.03569,             0.01647,            0.008515,            0.008515,            0.008515
                  17,            0.048919,            0.044176,            0.018191,             0.43604,             0.43103,             0.40782,             0.12326,             0.06453,             0.03544,            0.016744,            0.008416,            0.008416,            0.008416
                  18,            0.047213,            0.046067,            0.017326,             0.54208,             0.47158,             0.43796,             0.15333,            0.061356,            0.036024,            0.016725,            0.008317,            0.008317,            0.008317
                  19,            0.045093,            0.043291,             0.01643,             0.50276,             0.49678,               0.435,             0.16132,            0.062659,            0.036476,            0.016365,            0.008218,            0.008218,            0.008218
                  20,            0.047682,             0.04357,             0.01661,             0.65539,             0.44871,             0.49905,             0.16556,            0.062407,            0.035819,            0.016004,            0.008119,            0.008119,            0.008119
                  21,            0.044765,            0.043383,            0.015519,             0.55043,             0.45718,             0.44292,             0.18488,             0.06292,            0.035081,            0.015736,             0.00802,             0.00802,             0.00802
                  22,            0.044292,            0.042166,            0.015786,             0.65721,             0.41805,             0.46991,             0.15815,            0.062103,            0.035086,            0.015224,            0.007921,            0.007921,            0.007921
                  23,            0.043836,             0.04129,            0.014716,             0.59658,              0.3933,             0.43057,             0.13727,            0.062167,            0.036922,            0.014555,            0.007822,            0.007822,            0.007822
                  24,            0.042694,            0.040891,             0.01486,              0.6427,             0.37677,             0.40768,             0.14095,            0.063108,            0.038047,            0.014548,            0.007723,            0.007723,            0.007723
                  25,             0.04304,            0.040324,            0.014172,             0.48156,             0.43515,             0.41405,             0.14144,            0.062331,            0.037447,            0.014589,            0.007624,            0.007624,            0.007624
