cve_ent,ent,cve_mun,mun,pob_2010,pob_2015,pobr_por_2010,pobr_por_2015,pobr_pob_2010,pobr_pob_2015
1,Aguascalientes,1001,Aguascalientes,"801,807","861,446",30.2,26.1,"242,317","224,949"
1,Aguascalientes,1002,Asientos,"48,358","46,624",65.5,54.0,"31,694","25,169"
1,Aguascalientes,1003,Calvillo,"57,627","52,773",68.4,56.8,"39,419","29,951"
1,Aguascalientes,1004,Cosío,"14,929","15,321",54.2,43.2,"8,091","6,620"
1,Aguascalientes,1005,Jesús María,"102,211","125,750",42.4,25.0,"43,315","31,479"
1,Aguascalientes,1006,Pabellón de Arteaga,"40,659","45,733",51.1,34.9,"20,759","15,972"
1,Aguascalientes,1007,Rincón de Romos,"48,526","50,895",51.2,50.1,"24,831","25,483"
1,Aguascalientes,1008,San José de Gracia,"7,160","8,768",65.8,59.6,"4,709","5,228"
1,Aguascalientes,1009,Tepezalá,"20,668","20,484",65.8,50.7,"13,595","10,378"
1,Aguascalientes,1010,El Llano,"18,362","19,955",66.2,55.1,"12,157","10,988"
1,Aguascalientes,1011,San Francisco de los Romo,"37,776","45,152",42.2,31.3,"15,951","14,138"
2,Baja California,2001,Ensenada,"446,415","569,425",34.6,33.5,"154,337","190,776"
2,Baja California,2002,Mexicali,"961,693","1,014,987",30.0,25.7,"288,143","260,649"
2,Baja California,2003,Tecate,"89,999","110,870",29.6,26.6,"26,633","29,534"
2,Baja California,2004,Tijuana,"1,635,974","1,693,494",31.1,29.5,"508,581","499,136"
2,Baja California,2005,Playas de Rosarito,"101,290","110,698",41.6,37.8,"42,101","41,871"
3,Baja California Sur,3001,Comondú,"77,540","82,445",42.8,38.8,"33,215","31,982"
3,Baja California Sur,3002,Mulegé,"63,127","65,196",39.7,27.8,"25,050","18,143"
3,Baja California Sur,3003,La Paz,"265,717","293,687",25.5,24.3,"67,813","71,306"
3,Baja California Sur,3008,Los Cabos,"229,915","306,837",30.1,27.6,"69,252","84,571"
3,Baja California Sur,3009,Loreto,"18,538","22,045",41.2,41.3,"7,635","9,107"
4,Campeche,4001,Calkiní,"58,255","53,086",62.6,58.2,"36,489","30,907"
4,Campeche,4002,Campeche,"244,274","283,248",33.9,31.2,"82,814","88,417"
4,Campeche,4003,Carmen,"229,075","276,498",38.4,29.0,"87,930","80,303"
4,Campeche,4004,Champotón,"82,327","89,851",63.6,57.3,"52,342","51,448"
4,Campeche,4005,Hecelchakán,"28,630","29,167",64.7,56.0,"18,522","16,343"
4,Campeche,4006,Hopelchén,"46,342","34,592",79.1,69.0,"36,663","23,881"
4,Campeche,4007,Palizada,"9,605","9,092",61.5,60.4,"5,904","5,489"
4,Campeche,4008,Tenabo,"9,572","11,093",67.0,55.1,"6,409","6,116"
4,Campeche,4009,Escárcega,"59,619","61,888",71.2,59.1,"42,442","36,569"
4,Campeche,4010,Calakmul,"30,123","22,738",82.9,74.3,"24,965","16,900"
4,Campeche,4011,Candelaria,"44,266","40,532",69.6,67.6,"30,816","27,397"
5,Coahuila,5001,Abasolo,"1,065","1,021",48.8,3.9,520,40
5,Coahuila,5002,Acuña,"136,452","149,023",25.2,25.2,"34,320","37,505"
5,Coahuila,5003,Allende,"25,004","22,818",29.4,28.1,"7,349","6,413"
5,Coahuila,5004,Arteaga,"25,099","22,022",25.3,41.0,"6,340","9,039"
5,Coahuila,5005,Candela,"1,736","1,728",61.1,14.1,"1,061",244
5,Coahuila,5006,Castaños,"26,019","29,062",30.3,23.2,"7,882","6,743"
5,Coahuila,5007,Cuatro Ciénegas,"11,698","14,168",45.9,39.2,"5,370","5,552"
5,Coahuila,5008,Escobedo,"2,889","3,094",64.1,54.8,"1,851","1,695"
5,Coahuila,5009,Francisco I. Madero,"57,630","58,412",43.9,35.6,"25,327","20,818"
5,Coahuila,5010,Frontera,"79,194","82,558",28.0,18.4,"22,200","15,188"
5,Coahuila,5011,General Cepeda,"12,431","11,061",37.2,47.8,"4,623","5,285"
5,Coahuila,5012,Guerrero,"1,946","1,706",51.2,45.0,996,768
5,Coahuila,5013,Hidalgo,"1,639","1,574",58.1,31.6,951,498
5,Coahuila,5014,Jiménez,"9,337","10,341",68.7,44.7,"6,417","4,620"
5,Coahuila,5015,Juárez,"1,591","1,582",59.0,26.2,939,414
5,Coahuila,5016,Lamadrid,"1,819","1,783",59.1,14.3,"1,075",254
5,Coahuila,5017,Matamoros,"103,349","108,504",42.6,35.7,"43,976","38,711"
5,Coahuila,5018,Monclova,"232,010","230,423",19.4,17.7,"45,030","40,683"
5,Coahuila,5019,Morelos,"9,286","8,646",36.9,38.1,"3,425","3,290"
5,Coahuila,5020,Múzquiz,"75,505","70,744",38.5,27.6,"29,055","19,555"
